1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Adakah terdapat penghantaran bil selepas pemasangan pertama?,Jumlah bayaran tertunggak? Jumlah bil?,Saya mahu meningkatkan akaun saya ke turbo,Saya mempunyai masalah dengan internet dan telefon bimbit saya. Saya ingin ia diperiksa,TM tidak melakukan apa-apa selama 5 hari. Di manakah PELANTIKAN saya?,Berikan teknikal restorer,Bercakap dengan ejen sembang langsung,Tempoh sah kontrak TM saya?,Bolehkah saya mempunyai jumlah bil tertunggak seperti yang saya mahu bayar?,tidak boleh memanggil sebarang perkhidmatan,"Bolehkah saya membayar amaun saya, autopay sudah mati.","I cannot make calls, phone displays “no service”",Saya tidak boleh pergi ke internet selepas membeli pas tambahan,Saya telah cuba membuat panggilan tetapi ia tidak berfungsi dari China,Saya mempunyai beberapa akaun unifi. Apakah nombor-nombor itu?,Saya ingin mendapatkan Kod PUK saya
"I have yet to receive my first bill, please send me the bill via email",What is the total amount for my current bill?,I request for turbo service upgrade,"I am not able to use Internet and phone service for the past 12 hours, is the service down?",Please check my service connection,What’s the technician’s name and his contact details?,I’d like to talk to real person,What is my contract validity period?,What is the total amount for my current bill?,"I cannot make calls, phone displays “no service”","I made payment but autopay didn’t work, not my problem",TM gives me problem making calls,I have bought data reload pass but can’t access Internet,"I’m in China now, how do I make call?",What’s my account number in unifi?,"PUK code please, to unlock my phone"
Why is the bill not delivered to me? I request to receive an email copy of the bill,I made payment a few days back. How much is the oustanding amount?,Please speed up turbo service upgrade for me,What is wrong with Telekom? Why are all my services down?,What is wrong with my Internet connection,Technician’s name and cellphone please,No robot,When will my contract expire?,I made payment a few days back. How much is the oustanding amount?,TM gives me problem making calls,"I paid already but autopay has issues, don’t penalise me",Why the hell should I continue with TM when i can’t even make a basic call?,No internet even after I paid for reload pass,"I cannot make call in China, please advise","I have many accounts, what’s the main account number?","I entered PIN wrongly and resulted in locked sim, please provide PUK code to unlock"
"I haven’t received my bill, when must I make payment? I’d like to have an electronic copy of the bill",How much do I need to pay for this month?,I want turbo service upgrade NOW,Fix my Internet and phone service NOW,Could you please send someone down to check my Internet connection,Please repeat the technician’s name and handphone number,Robot go away,How long is TM going to hold me hostage?,How much do I need to pay for this month?,Why the hell should I continue with TM when i can’t even make a basic call?,Go and chase Autopay for the money,"Phone call problems, please advise","TM cheat my money lah, cannot browse Internet",Did the Great Firewall of China block my call?,"Why is there so many account numbers, which is the right one?",How do I obtain PUK code to unlock my SIM
"I have not received my mobile service bill. My service contract started on 22-Jan, could you please send me an email copy?",What is the outstanding amount and how do I make payments?,"Turbo service upgrade, please",When are all the services going to recover?,"My internet not working, please check",Is there a number for me to contact the technician directly?,"Please transfer to actual agent, I’d like to lodge a complaint",Please tell me how long more you’re going to cheat my money,What is the outstanding amount and how do I make payments?,"Phone call problems, please advise","Autopay cannot pay lah, not me",Cannot make calls,"Bought data reload pass, but can’t even browse Internet",Unable to make call in China,"So troublesome to have many account numbers, can’t you provide one single customer identification number?","My SIM is blocked, what is this PUK code it’s asking for?"
When should I expect to receive my 1st bill? Will it be sent via email too?,Please let me know the total bill amount for this month,"Turbo service upgrade, please expedite",What happened? I can’t use all the Internet and home phone services!,Troubleshoot my Internet and get it working NOW,Give me his name and phone number,Robot sucks,When did my contract start and when will it end?,Please let me know the total bill amount for this month,Cannot make calls,"Autopay becomes manual pay, WTH","Saya tidak boleh membuat panggilan, telefon memaparkan ""tiada perkhidmatan""","How do I browse Internet, after purchasing data reload pass?",Why can’t I make a call in China?,My account number,Just give me a PUK code
"Saya belum menerima bil pertama saya, sila hantarkan saya bil melalui e-mel",Apakah jumlah amaun bil saya sekarang?,Saya meminta peningkatan perkhidmatan turbo,"Saya tidak dapat menggunakan perkhidmatan Internet dan telefon selama 12 jam yang lalu, apakah perkhidmatan itu turun?",Sila semak sambungan perkhidmatan saya,Apakah nama juruteknik dan butiran perhubungannya?,Saya ingin bercakap dengan orang yang sebenar,Apakah tempoh sah kontrak saya?,Apakah jumlah amaun bil saya sekarang?,"Saya tidak boleh membuat panggilan, telefon memaparkan ""tiada perkhidmatan""","Saya membuat bayaran tetapi autopay tidak berfungsi, bukan masalah saya",TM memberi saya masalah membuat panggilan,Saya telah membeli pasangkan semula data tetapi tidak dapat mengakses Internet,"Saya berada di China sekarang, bagaimana saya membuat panggilan?",Apakah nombor akaun saya dalam unifi?,"Kod PUK sila, untuk membuka kunci telefon saya"
Mengapa bil tidak dihantar kepada saya? Saya meminta untuk menerima salinan e-mel dari bil tersebut,Saya membuat pembayaran beberapa hari lagi. Berapakah jumlah tertunggak?,Sila mempercepatkan naik taraf turbo untuk saya,Apa yang salah dengan Telekom? Kenapa semua perkhidmatan saya turun?,Apa yang salah dengan sambungan Internet saya,Nama juruteknik dan telefon bimbit,Tiada robot,Bilakah kontrak saya tamat?,Saya membuat pembayaran beberapa hari lagi. Berapakah jumlah tertunggak?,TM memberi saya masalah membuat panggilan,"Saya telah membayar tetapi isu autopay mempunyai masalah, jangan menghukum saya",Kenapa saya harus meneruskan TM apabila saya tidak dapat membuat panggilan asas?,Tidak ada internet walaupun selepas saya membayar untuk memuat semula pas,"Saya tidak boleh membuat panggilan di China, sila maklumkan","Saya mempunyai banyak akaun, apakah nombor akaun utama?","Saya memasukkan PIN dengan salah dan mengakibatkan sim terkunci, sila berikan kod PUK untuk membuka kunci"
"Saya tidak menerima bil saya, bilakah saya perlu membuat pembayaran? Saya ingin mempunyai salinan elektronik bil",Berapa banyak yang perlu saya bayar untuk bulan ini?,Saya mahukan perkhidmatan turbo naik taraf SEKARANG,Betulkan perkhidmatan Internet dan telefon saya SEKARANG,Bolehkah anda menghantar seseorang ke bawah untuk memeriksa sambungan internet saya,Sila ulangi nombor juruteknik dan nombor telefon bimbit,Robot pergi,Berapa lamakah TM akan menahan tebusan saya?,Berapa banyak yang perlu saya bayar untuk bulan ini?,Kenapa saya harus meneruskan TM apabila saya tidak dapat membuat panggilan asas?,Pergi dan mengejar Autopay untuk wang itu,"Masalah panggilan telefon, sila maklumkan","TM menipu wang saya lah, tidak boleh melayari Internet",Adakah Firewall Besar China menyekat panggilan saya?,"Mengapa ada nombor akaun yang begitu banyak, yang mana yang betul?",Bagaimanakah cara mendapatkan kod PUK untuk membuka kunci SIM saya?
"Saya belum menerima bil perkhidmatan mudah alih saya. Kontrak perkhidmatan saya bermula pada 22 Januari, bolehkah anda menghantar saya salinan e-mel?",Berapakah jumlah tertunggak dan bagaimana saya membuat pembayaran?,"Turunkan perkhidmatan Turbo, sila",Bilakah semua perkhidmatan akan pulih?,"Internet saya tidak berfungsi, sila semak",Adakah terdapat nombor bagi saya untuk menghubungi juruteknik secara langsung?,"Sila berikan kepada agen sebenar, saya ingin membuat aduan",Tolong beritahu saya berapa lama lagi anda akan menipu wang saya,Berapakah jumlah tertunggak dan bagaimana saya membuat pembayaran?,"Masalah panggilan telefon, sila maklumkan","Autopay tidak boleh membayar lah, bukan saya",Tidak boleh membuat panggilan,"Dibeli lulus semula data, tetapi tidak dapat melayari Internet",Tidak dapat membuat panggilan di China,"Jadi menyusahkan untuk mempunyai banyak nombor akaun, bolehkah anda menyediakan satu nombor pengenalan pelanggan tunggal?","SIM saya disekat, apakah kod PUK yang ia minta?"
Bilakah saya harus menunggu untuk menerima tagihan pertama saya? Adakah ia akan dihantar melalui e-mel juga?,Tolong beritahu saya jumlah jumlah bil untuk bulan ini,"Turunkan perkhidmatan Turbo, sila mempercepatkan",Apa yang berlaku? Saya tidak boleh menggunakan semua perkhidmatan Internet dan telefon rumah!,Selesaikan masalah Internet saya dan dapatkan SEKARANG,Berikan saya nama dan nombor telefonnya,Robot menghisap,Bilakah kontrak saya bermula dan kapan akan berakhir?,Tolong beritahu saya jumlah jumlah bil untuk bulan ini,Tidak boleh membuat panggilan,"Autopay menjadi gaji manual, WTH",I have no service on my phone. Please help me,"Bagaimanakah saya melayari Internet, selepas membeli pulangan data pas?",Kenapa saya tidak boleh membuat panggilan di China?,Nombor akaun saya sila,Berikan saya kod PUK
Why didn’t i get to receive my billing after service installation?,I would like to know if there is any outstanding amount before i make any payment?,How do i get the turbo service upgrade for this account?,I have no internet at home and no internet on my phone too. Is the service down?,May i request you do a check on my service connection status?,I want the name and contact details about the restorer?,i want to speak to your customer service officer now,May i know my validity period of my contract?,I would like to know if there is any outstanding amount before i make any payment?,I have no service on my phone. Please help me,The autopay is not working. How to pay?,Why i can’t make a call on my phone?,My data reload is not working and no internet to use,I am in China trying to make a phone call but i cannot make a phone call out,Can you give me my account no in unifi?,My phone is blocked and i need PUK code
I would like to check about my billing delivery status. Why is it not delivered to me yet?,What’s the outstanding amount under my account?,How much is the turbo service upgrade?,Is the telco having issues? I have no internet access ,What is my service connection status?,Give me the name of restorer?,i want to make a complaint to your customer officer now.,Tell me my contract validity period?,What’s the outstanding amount under my account?,Why i can’t make a call on my phone?,I need to make payment for my outstanding amount but the autopay is not working,Why my phone cannot make phone call??,Data reload got problem? I still don’t have internet to use,Why my phone is not able to make a phone call? I’m at overseas now,What are my account no in unifi?,Give me my PUK code
"After my service installation is done, why there isn’t a bill send to me yet?",i want to make payment for my current billing and my outstanding amount. How do i go about it?,What is the details about turbo service upgrade?,The internet has been down since last night. What is going on?,Is the service connection ok?,Can you give me the name of the technical restorer?,Tell the customer officer to call me now. I wish to speak to him,When is my validity period ending?,i want to make payment for my current billing and my outstanding amount. How do i go about it?,Why my phone cannot make phone call??,How do i make payment as the autopay is not working?,I need to make a phone call but i have no telco service,I using data reload pass but i still dont have internet data,Is my overseas roaming not wokring? I can’t make a phone call,Tell me all my account no in unifi?,I entered the wrong sim pin and i need PUK code now
I didn’t receive any billing from you after my service installation. When will it be sent to me?,What is my oustanding amount and my current billing amount?,Do you recommend me to upgrade using turbo service?,I need help! I don’t have internet since last night. Please advise how to fix this?,Can you do a proper checking on the service connection?,what is the name and handphone number of the restorer?,Get the CSO to talk to me to phone,What is my contract validity period?,What is my oustanding amount and my current billing amount?,I need to make a phone call but i have no telco service,Can you fix the autopay? I can’t make any payment ,I cannot receive any call because of the no service. Help me please,I have no internet even though i have already used data reload pass,I need to make a overseas phone call but it is not working,I want to know all my account number in unifi,Provide me my PUK code
When will i receive my billing as my service installation is done?,What is the total amount i have to pay this time?,How fast will be the turbo service upgrade be ready for me?,Am i the only one having internet problem last night?,Can you do a further check on the service connection status?,Kindly provide me the name and contact no of the restorer,I demand to speak to your customer service officer,Provide me my contract validity period,What is the total amount i have to pay this time?,I cannot receive any call because of the no service. Help me please,Autopay system down? I can’t do any payment,Saya tidak mempunyai perkhidmatan pada telefon saya. Tolong saya,I have already bought a data reload but it is not working,My overseas phone call is not working. Please help,Display all my account number in unifi,Can you send me PUK code as my phone is blocked
Mengapa saya tidak dapat menerima pengebilan saya selepas pemasangan perkhidmatan?,Saya ingin tahu jika ada jumlah yang belum dijelaskan sebelum saya membuat pembayaran?,Bagaimanakah saya mendapatkan naik taraf turbo untuk akaun ini?,Saya tidak mempunyai internet di rumah dan tiada internet di telefon saya juga. Adakah perkhidmatan turun?,Boleh saya meminta anda melakukan pemeriksaan terperinci mengenai status sambungan perkhidmatan saya?,Saya mahu nama dan butiran perhubungan tentang pembaik pulih?,Saya ingin bercakap dengan pegawai khidmat pelanggan anda sekarang,Bolehkah saya mengetahui tempoh sah saya dalam kontrak saya?,Saya ingin tahu jika ada jumlah yang belum dijelaskan sebelum saya membuat pembayaran?,Saya tidak mempunyai perkhidmatan pada telefon saya. Tolong saya,Autopay tidak berfungsi. Bagaimana untuk membayar?,Kenapa saya tidak boleh membuat panggilan ke telefon saya?,Muat semula data saya tidak berfungsi dan tidak ada internet untuk digunakan,Saya di China cuba membuat panggilan telefon tetapi saya tidak boleh membuat panggilan telefon,Bolehkah anda memberi saya akaun saya tidak di unifi?,Telefon saya disekat dan saya memerlukan kod PUK
Saya ingin menyemak status penghantaran bil saya. Kenapa ia tidak dihantar kepada saya lagi?,Apakah jumlah tertunggak di bawah akaun saya?,Berapakah peningkatan perkhidmatan turbo?,Adakah telekomunikasi mempunyai masalah? Saya tidak mempunyai akses internet,Apakah status sambungan perkhidmatan saya?,Berikan saya nama pemulih?,Saya ingin membuat aduan kepada pegawai pelanggan anda sekarang.,Beritahu saya tempoh sah kontrak saya?,Apakah jumlah tertunggak di bawah akaun saya?,Kenapa saya tidak boleh membuat panggilan ke telefon saya?,Saya perlu membuat bayaran untuk jumlah yang saya baki tetapi autopay tidak berfungsi,Kenapa telefon saya tidak boleh membuat panggilan telefon ??,Muat semula data mendapat masalah? Saya masih tidak mempunyai internet untuk digunakan,Mengapa telefon saya tidak dapat membuat panggilan telefon? Saya berada di luar negara sekarang,Apakah akaun saya tidak dalam keadaan unifi?,Berikan saya kod PUK saya
"Selepas pemasangan perkhidmatan saya selesai, kenapa tidak ada bil yang dihantar kepada saya lagi?",saya ingin membuat bayaran untuk bil semasa saya dan amaun tertunggak saya. Bagaimana saya pergi mengenainya?,Apakah butiran mengenai naik taraf perkhidmatan turbo?,Internet telah turun sejak malam tadi. Apa yang sedang berlaku?,Adakah sambungan perkhidmatannya ok?,Bolehkah anda memberi saya nama pemulihan teknikal?,Beritahu pegawai pelanggan untuk menghubungi saya sekarang. Saya ingin bercakap dengannya,Bilakah tempoh kesahihan saya berakhir?,saya ingin membuat bayaran untuk bil semasa saya dan amaun tertunggak saya. Bagaimana saya pergi mengenainya?,Kenapa telefon saya tidak boleh membuat panggilan telefon ??,Bagaimanakah saya membuat pembayaran kerana autopay tidak berfungsi?,Saya perlu membuat panggilan telefon tetapi saya tidak mempunyai perkhidmatan telco,Saya menggunakan pass reload data tetapi saya masih tidak mempunyai data internet,Adakah perantauan di luar negara saya tidak suka? Saya tidak boleh membuat panggilan telefon,Beritahu saya semua akaun saya tidak di unifi?,Saya memasuki pin sim salah dan saya perlukan kod PUK sekarang
Saya tidak menerima sebarang bil daripada anda selepas pemasangan perkhidmatan saya. Bilakah ia akan dihantar kepada saya?,Apakah jumlah saya dan jumlah bil saya semasa?,Adakah anda mencadangkan saya menaik taraf menggunakan perkhidmatan turbo?,Saya perlukan pertolongan! Saya tidak mempunyai internet sejak malam tadi. Sila nasihatkan cara membetulkannya?,Bolehkah anda melakukan pemeriksaan yang betul pada sambungan perkhidmatan?,apakah nama dan nombor telefon bimbit pembaik?,Dapatkan CSO untuk bercakap dengan saya ke telefon,Apakah tempoh sah kontrak saya?,Apakah jumlah saya dan jumlah bil saya semasa?,Saya perlu membuat panggilan telefon tetapi saya tidak mempunyai perkhidmatan telco,Bolehkah anda menetapkan autopay? Saya tidak boleh membuat pembayaran,Saya tidak dapat menerima apa-apa panggilan kerana tiada perkhidmatan. Tolong saya,Saya tidak mempunyai internet walaupun saya telah menggunakan pas data reload,Saya perlu membuat panggilan telefon di luar negara tetapi tidak berfungsi,Saya ingin tahu semua nombor akaun saya di unifi,Berikan saya kod PUK saya
Bilakah saya akan menerima pengebilan saya sebagai pemasangan perkhidmatan saya?,Apakah jumlah yang saya perlu bayar kali ini?,Berapa cepatkah peningkatan taraf turbo bersiap sedia untuk saya?,Adakah saya satu-satunya masalah internet semalam?,Bolehkah anda melakukan pemeriksaan lanjut mengenai status sambungan perkhidmatan?,Sila berikan saya nama dan hubungi tiada pemulih,Saya ingin bercakap dengan pegawai khidmat pelanggan anda,Sediakan tempoh sah kontrak saya,Apakah jumlah yang saya perlu bayar kali ini?,Saya tidak dapat menerima apa-apa panggilan kerana tiada perkhidmatan. Tolong saya,Sistem Autopay ke bawah? Saya tidak boleh melakukan apa-apa bayaran,service connection down,Saya telah membeli tambah nilai data tetapi tidak berfungsi,Panggilan telefon luar negara saya tidak berfungsi. Tolong bantu,Paparkan semua nombor akaun saya dalam unifi,Bolehkah anda menghantar saya kod PUK kerana telefon saya disekat
no bill after installation. Why no email?,outstanding bill amt?,upgrade acct turbo,phone and net down,internet down for 5 days ,who is my technician?,talk to csr now,how long contract?,bill amt? any more must pay?,no call service,autopay not ok,service not working ,"internet no work, I paid for data alr",china cant make call,Unifi no,PUK no 
I got no bill to my email after technician came. Why?,what is bill amt?,acct upgrade turbo,mobile internet not working,why internet not right for 5 days,what is my technician phone?,csr now ,contract valid until when?,pay bill and oustanding?,no svc cant call,cannot autopay,my service is not work,reload pay no internet,why in china I cannot call ppl,Unifi acct no,need PUK number for sim
no bill delivery to my email,how much amt I need pay?,turbo service,internet and phone no work,TM my INTERNET IS DOWN 5 DAYS ALR! Please arrange for appointment,technician phone numbeR?,speak human now,contract bal pls,amount for my bill?,call connection is down,why no autopay,cannot call ppl why,paid but no internet ,cannot call ppl in china,right Unifi acct no pls,SIM blked. PUK
is 1st bill supposed to go to my email?,what is my bill $?,up acct turbo,net and phone cant work,5 DAYS INTERNET DOWN! UNACCEPTABLE,tech phone number pls?,customer officer plz,balance contract?,hw much bill amt?,,cannot pay auto,no call why no svc,why cannot use internet after I pay,in cn cannot call people,Unifi,fone blocked PUK code pls
"no bill to email, why?",bil amount? Outstanding?,acct to turbo,internet and phone boleh,five day no internet? Please call me back.,restorer number please?,CSO NOW,when can i recontract,outstanding bill $?,,auto not work,not able to make calls,reload but I cannot use internet,,need to know w.r.t account,need PUK 
bill to email?,,turbo service upgrading for this account,"there is no service, what is this bullshit",,restorer num ,can i speak with a human,recontract date,total bill amt please?,,auto nt working,my mobile signal is not that good,,,,
I have no email?,,,i have no service,,need restorer no,i want to speak with customer service,saya recontract,what is my outstanding payment amount,,auto no work,my signal is bad,,,,
,,,,,,please get me an agent!,Bilakah saya boleh berundur semula,what is my outstanding payment amt,,payauto fail,,,,,
,,,,,,i want to speak with an agent!,what is my recontract status,,,autopay fail,,,,,
,,,,,,transfer me to agent!,,,,,,,,,
